"LocationKey","Lat","Long","crime.weight.theft","crime.weight.vehicle","crime.weight.violent"
3,51.52479868,-0.20160305,82.053326840377,82.391125436675,84.9458256362338
4,51.53356609,-0.17249056,47.0854833933789,43.9478604844313,38.239812108191
5,51.53588173,-0.16268738,27.9948672864546,34.7974388707957,35.3986705082429
6,51.53580637,-0.16151606,29.5754608868272,35.6696299290315,36.2615608159461
7,51.53585413,-0.16659981,28.3679601580593,31.3200995878014,31.3530954522446
8,51.52452614,-0.18504007,78.7560197284684,81.9751980132742,82.1129142216875
9,51.53436261,-0.16691222,37.5794711044131,40.096468178367,39.448734528677
10,51.53601317,-0.16271482,27.1405736293156,33.9833311086611,34.5932443691077
11,51.53591582,-0.16455248,26.9368187139497,33.1119921091121,33.7310264260168
12,51.53731073,-0.16874147,20.5649516942783,20.0882087144519,18.171374795946
13,51.53364028,-0.16675897,41.7539018294781,44.3092291681719,43.6569152340758
14,51.53426496,-0.17098205,42.0075069953834,39.740360985326,31.8175521246364
15,51.53495609,-0.16946391,36.1676623800967,34.7851025090893,30.7730206899567
16,51.53388461,-0.16582997,40.0392236441222,43.4778782772065,43.7760275486401
17,51.53408375,-0.16774552,39.2525080181113,41.0710358266375,39.4550619025901
18,51.53361369,-0.16947609,43.7246986392573,42.6368888448068,38.1986056757135
19,51.53253166,-0.16894134,48.6072440700041,48.4257994743304,45.0970437081787
20,51.53357815,-0.17074669,45.5433333301076,43.5929812756377,35.4748640355285
21,51.53347267,-0.17076212,46.1297460882728,44.1928546165207,36.0825653148765
22,51.53315037,-0.17022737,47.2246752676009,45.7251876813924,38.80947191108
23,51.53315037,-0.17022737,47.2246752676009,45.7251876813924,38.80947191108
24,51.53302392,-0.17021337,47.874063312578,46.4127940048271,39.5133220274936
25,51.53302392,-0.17021337,47.874063312578,46.4127940048271,39.5133220274936
26,51.53278152,-0.16978145,48.5726505253872,47.4605441551406,41.8403503106336
27,51.53278152,-0.16978145,48.5726505253872,47.4605441551406,41.8403503106336
28,51.53245865,-0.16938439,49.6637674761722,48.9044701756364,44.4417287058038
29,51.53245865,-0.16938439,49.6637674761722,48.9044701756364,44.4417287058038
30,51.53453257,-0.17039809,39.8455835243426,37.9151123657029,30.7998663879508
31,51.53239554,-0.17368385,53.7311004757375,50.041837947751,46.1535559450504
32,51.53384528,-0.17189531,45.1576709749019,42.3631852525738,35.7788677746905
33,51.53351969,-0.17195588,46.9762820911542,44.2144454164304,37.7468232060098
34,51.53714405,-0.16985145,23.3205784852487,21.1616432026656,16.5692312794517
35,51.53453624,-0.17076824,40.2481793403577,38.0647894921626,29.9616041502168
36,51.53134956,-0.17114669,57.3156926143794,55.5963196319704,48.1831803940571
37,51.53289057,-0.16643761,45.8778221848125,48.6034259957712,48.1223611402519
38,51.53771018,-0.16852686,17.5876627143308,17.6483655464075,16.0651729865524
39,51.53485601,-0.17321164,40.2227884476591,36.2982936461103,31.503792940563
40,51.53741337,-0.18517747,12.5442015830823,17.5578254926873,19.1026746265673
41,51.5348902,-0.17249001,39.6693482582229,36.230388804983,30.4006152959719
42,51.537872,-0.17384531,21.6772766886178,16.6245051321657,12.4807049222915
43,51.53948802,-0.17434681,10.635772295834,4.86342408329777,1.31161191713675
44,51.53976856,-0.1788256,6.05154683608587,4.51638700178664,0
45,51.53947866,-0.17738396,9.57146113953146,6.26589092552045,2.53392338853687
46,51.53844527,-0.17758097,16.5949907200543,13.739030283026,10.0266619221342
47,51.53739168,-0.1780929,23.1342180757776,21.1273020909584,17.2762296577785
48,51.53769602,-0.18487659,10.90023134166,15.5467903581205,17.0137674590867
49,51.53665792,-0.1808256,24.6392954822073,25.6126628296751,20.4490676637335
50,51.53571331,-0.1748713,35.4127036800992,30.1764300013985,27.6646769170683
51,51.5363045,-0.17496934,31.7905163585141,26.3807161337935,23.9291111491432
52,51.53656628,-0.17580145,29.9636382386354,25.1921308979752,22.6449310024642
53,51.53701192,-0.17777069,25.8918340109218,23.549043111961,19.9130177865848
54,51.53812507,-0.17875361,17.571370133177,16.2515356862904,11.9674604085926
55,51.53427486,-0.17535771,43.7077929477621,38.8438130284251,36.7826953625219
56,51.5373065,-0.17921621,22.441494830365,21.8130246823491,17.3897505584226
57,51.53596148,-0.18277147,25.9259000181376,28.4976682167453,26.4347004270091
58,51.53382373,-0.18690296,36.5160497260469,40.1614117969829,41.9287216888106
59,51.53757838,-0.17886503,21.0772078433112,19.9911703494954,15.7160474887756
60,51.53385741,-0.17602867,45.8097798167503,41.8366513108362,39.5227356614
61,51.53332631,-0.17619005,48.6164682008227,44.9481869700765,42.6210566747049
62,51.52965769,-0.17576351,66.4667050207653,62.9262791582479,61.3399293663485
63,51.5357245,-0.18041267,30.9999063047195,31.7321338054019,26.8963652988515
64,51.53904936,-0.1788856,11.0791908670677,9.75205850082945,5.28889324409648
65,51.5377384,-0.18293921,14.1564225120879,16.6903191805146,14.9706205055189
66,51.53720707,-0.18406918,15.5589172288936,18.8809608672463,19.7065590273505
67,51.53192208,-0.18201246,49.9398063821272,52.2811688265988,48.6001593717087
68,51.53666356,-0.18333868,20.4410526664547,23.3538864476449,22.5841460497888
69,51.53826661,-0.17908686,16.2223153753867,15.2800403101371,10.8062598866828
70,51.53206902,-0.18084119,50.897362938244,52.3403615748353,47.802608921652
71,51.53553458,-0.1809275,31.4903035637679,32.6619144535204,27.5946766420001
72,51.53507713,-0.18209593,32.4704834997614,34.609497293641,31.0103664149722
73,51.53438421,-0.18113099,37.9943290572276,39.4428243596953,34.43974576202
